crawl_date,source,platform,rank,rank_group,title,rank_score
2026-04-26,Crawling.ipynb saved output,Kinolights,1,01-20,매드 맥스: 분노의 도로,100
2026-04-26,Crawling.ipynb saved output,Kinolights,2,01-20,목스박,99
2026-04-26,Crawling.ipynb saved output,Kinolights,3,01-20,시민덕희,98
2026-04-26,Crawling.ipynb saved output,Kinolights,4,01-20,댓글부대,97
2026-04-26,Crawling.ipynb saved output,Kinolights,5,01-20,히든 피겨스,96
2026-04-26,Crawling.ipynb saved output,Kinolights,6,01-20,가여운 것들,95
2026-04-26,Crawling.ipynb saved output,Kinolights,7,01-20,플랜 75,94
2026-04-26,Crawling.ipynb saved output,Kinolights,8,01-20,소울메이트,93
2026-04-26,Crawling.ipynb saved output,Kinolights,9,01-20,괴물,92
2026-04-26,Crawling.ipynb saved output,Kinolights,10,01-20,더 퍼지,91
2026-04-26,Crawling.ipynb saved output,Kinolights,11,01-20,추락의 해부,90
2026-04-26,Crawling.ipynb saved output,Kinolights,12,01-20,코코,89
2026-04-26,Crawling.ipynb saved output,Kinolights,13,01-20,듄,88
2026-04-26,Crawling.ipynb saved output,Kinolights,14,01-20,마더,87
2026-04-26,Crawling.ipynb saved output,Kinolights,15,01-20,로봇 드림,86
2026-04-26,Crawling.ipynb saved output,Kinolights,16,01-20,게임 체인저,85
2026-04-26,Crawling.ipynb saved output,Kinolights,17,01-20,듄: 파트2,84
2026-04-26,Crawling.ipynb saved output,Kinolights,18,01-20,사모님의 유혹,83
2026-04-26,Crawling.ipynb saved output,Kinolights,19,01-20,인사이드 아웃,82
2026-04-26,Crawling.ipynb saved output,Kinolights,20,01-20,지락이의 뛰뛰빵빵,81
2026-04-26,Crawling.ipynb saved output,Kinolights,21,21-40,은밀하게 위대하게,80
2026-04-26,Crawling.ipynb saved output,Kinolights,22,21-40,슬픔의 삼각형,79
2026-04-26,Crawling.ipynb saved output,Kinolights,23,21-40,웡카,78
2026-04-26,Crawling.ipynb saved output,Kinolights,24,21-40,시카고,77
2026-04-26,Crawling.ipynb saved output,Kinolights,25,21-40,스즈메의 문단속,76
2026-04-26,Crawling.ipynb saved output,Kinolights,26,21-40,더 메뉴,75
2026-04-26,Crawling.ipynb saved output,Kinolights,27,21-40,우는 남자,74
2026-04-26,Crawling.ipynb saved output,Kinolights,28,21-40,바빌론,73
2026-04-26,Crawling.ipynb saved output,Kinolights,29,21-40,매드 맥스,72
2026-04-26,Crawling.ipynb saved output,Kinolights,30,21-40,업,71
2026-04-26,Crawling.ipynb saved output,Kinolights,31,21-40,양자물리학,70
2026-04-26,Crawling.ipynb saved output,Kinolights,32,21-40,시수,69
2026-04-26,Crawling.ipynb saved output,Kinolights,33,21-40,줄무늬 파자마를 입은 소년,68
2026-04-26,Crawling.ipynb saved output,Kinolights,34,21-40,비거 스플래쉬,67
2026-04-26,Crawling.ipynb saved output,Kinolights,35,21-40,외계+인 2부,66
2026-04-26,Crawling.ipynb saved output,Kinolights,36,21-40,소풍,65
2026-04-26,Crawling.ipynb saved output,Kinolights,37,21-40,오펜하이머,64
2026-04-26,Crawling.ipynb saved output,Kinolights,38,21-40,범죄도시,63
2026-04-26,Crawling.ipynb saved output,Kinolights,39,21-40,바비,62
2026-04-26,Crawling.ipynb saved output,Kinolights,40,21-40,뒤주,61
2026-04-26,Crawling.ipynb saved output,Kinolights,41,41-60,펄프 픽션,60
2026-04-26,Crawling.ipynb saved output,Kinolights,42,41-60,월터의 상상은 현실이 된다,59
2026-04-26,Crawling.ipynb saved output,Kinolights,43,41-60,비키퍼,58
2026-04-26,Crawling.ipynb saved output,Kinolights,44,41-60,헤어질 결심,57
2026-04-26,Crawling.ipynb saved output,Kinolights,45,41-60,범죄도시 3,56
2026-04-26,Crawling.ipynb saved output,Kinolights,46,41-60,굿 윌 헌팅,55
2026-04-26,Crawling.ipynb saved output,Kinolights,47,41-60,남은 인생 10년,54
2026-04-26,Crawling.ipynb saved output,Kinolights,48,41-60,올드보이,53
2026-04-26,Crawling.ipynb saved output,Kinolights,49,41-60,우리들,52
2026-04-26,Crawling.ipynb saved output,Kinolights,50,41-60,고질라 VS. 콩,51
2026-04-26,Crawling.ipynb saved output,Kinolights,51,41-60,크로니클,50
2026-04-26,Crawling.ipynb saved output,Kinolights,52,41-60,택시,49
2026-04-26,Crawling.ipynb saved output,Kinolights,53,41-60,위대한 쇼맨,48
2026-04-26,Crawling.ipynb saved output,Kinolights,54,41-60,녹터널 애니멀스,47
2026-04-26,Crawling.ipynb saved output,Kinolights,55,41-60,에밀리: 범죄의 유혹,46
2026-04-26,Crawling.ipynb saved output,Kinolights,56,41-60,보 이즈 어프레이드,45
2026-04-26,Crawling.ipynb saved output,Kinolights,57,41-60,귀공자,44
2026-04-26,Crawling.ipynb saved output,Kinolights,58,41-60,미션 임파서블: 데드 레코닝,43
2026-04-26,Crawling.ipynb saved output,Kinolights,59,41-60,악인전,42
2026-04-26,Crawling.ipynb saved output,Kinolights,60,41-60,대립군,41
