crawl_date,source,platform,rank,title,rank_score
2026-04-26,live_fetch_from_kinolights_html,Kinolights,1,허수아비,20
2026-04-26,live_fetch_from_kinolights_html,Kinolights,2,기리고,19
2026-04-26,live_fetch_from_kinolights_html,Kinolights,3,21세기 대군부인,18
2026-04-26,live_fetch_from_kinolights_html,Kinolights,4,오늘도 매진했습니다,17
2026-04-26,live_fetch_from_kinolights_html,Kinolights,5,모두가 자신의 무가치함과 싸우고 있다,16
2026-04-26,live_fetch_from_kinolights_html,Kinolights,6,살목지,15
2026-04-26,live_fetch_from_kinolights_html,Kinolights,7,왕과 사는 남자,14
2026-04-26,live_fetch_from_kinolights_html,Kinolights,8,란 12.3,13
2026-04-26,live_fetch_from_kinolights_html,Kinolights,9,프로젝트 Y,12
2026-04-26,live_fetch_from_kinolights_html,Kinolights,10,정점,11
2026-04-26,live_fetch_from_kinolights_html,Kinolights,11,하우스메이드,10
2026-04-26,live_fetch_from_kinolights_html,Kinolights,12,짱구,9
2026-04-26,live_fetch_from_kinolights_html,Kinolights,13,성난 사람들,8
2026-04-26,live_fetch_from_kinolights_html,Kinolights,14,유미의 세포들 시즌 3,7
2026-04-26,live_fetch_from_kinolights_html,Kinolights,15,악마는 프라다를 입는다,6
2026-04-26,live_fetch_from_kinolights_html,Kinolights,16,세계의 주인,5
2026-04-26,live_fetch_from_kinolights_html,Kinolights,17,프로젝트 헤일메리,4
2026-04-26,live_fetch_from_kinolights_html,Kinolights,18,사냥개들 2,3
2026-04-26,live_fetch_from_kinolights_html,Kinolights,19,베팅 온 팩트,2
2026-04-26,live_fetch_from_kinolights_html,Kinolights,20,바람,1
